,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
325,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,4381827.0,,,,4381827.0,,4158507,,,0
326,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,625069.0,,,,625069.0,,776866,,,0
327,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,133537.0,,,,133537.0,,270408,,,0
328,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,79316592.0,,,,79316592.0,,70686132,,,0
329,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,3883224.0,,,,3883224.0,,2552300,,,0
330,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,326942.0,,,,326942.0,,213262,,,0
331,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,1943720.0,,,,1943720.0,,1227217,,,0
332,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,14306.0,,,,14306.0,,230308,,,0
333,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,17922707.0,,,,17922707.0,,2389523,,,0
334,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,68.0,,,,68.0,,395,,,0
335,H1,2003,2003,2003,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,6554.0,,,,6554.0,,45088,,,0
336,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,12371366.0,,,,12371366.0,,1675936,,,0
337,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,22561.0,,,,22561.0,,20989,,,0
338,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,19633.0,,,,19633.0,,4049,,,0
339,H1,2003,2003,2003,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,7108,"Gold, unwrought, semi-manufactured, powder form",8,Weight in kilograms,6904.0,,,,6904.0,,76485785,,,0
