,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
219,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,2016000.0,0.0,0.0,0.0,2016000.0,0.0,2090187,0.0,0.0,0
218,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,196359232.0,0.0,0.0,0.0,196359232.0,0.0,198042960,0.0,0.0,0
217,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,163006.0,0.0,0.0,0.0,163006.0,0.0,179867,0.0,0.0,0
216,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,57601.0,0.0,0.0,0.0,57601.0,0.0,78527,0.0,0.0,0
214,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,3046750.0,0.0,0.0,0.0,3046750.0,0.0,2178922,0.0,0.0,0
213,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,466851.0,0.0,0.0,0.0,466851.0,0.0,478372,0.0,0.0,0
212,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,9438187.0,0.0,0.0,0.0,9438187.0,0.0,3847284,0.0,0.0,0
211,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,47331252.0,0.0,0.0,0.0,47331252.0,0.0,16695048,0.0,0.0,0
210,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,17211020.0,0.0,0.0,0.0,17211020.0,0.0,8294533,0.0,0.0,0
220,H0,1994,1994,1994,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,1163562.0,0.0,0.0,0.0,1163562.0,0.0,1161112,0.0,0.0,0
209,H0,1994,1994,1994,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,4000000.0,0.0,0.0,0.0,4000000.0,0.0,1900000,0.0,0.0,0
247,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,8987188.0,0.0,0.0,0.0,3594875.0,0.0,316275,0.0,0.0,0
248,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,45932072.0,0.0,0.0,0.0,18372828.0,0.0,1836281,0.0,0.0,0
249,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,2765.0,0.0,0.0,0.0,2765.0,0.0,34422808,0.0,0.0,0
250,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,10.0,0.0,0.0,0.0,10.0,0.0,124477,0.0,0.0,0
255,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1312.0,0.0,0.0,0.0,1312.0,0.0,5350,0.0,0.0,0
252,H0,1995,1995,1995,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,35894.0,0.0,0.0,0.0,35894.0,0.0,783614,0.0,0.0,0
253,H0,1995,1995,1995,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,54570.0,0.0,0.0,0.0,54570.0,0.0,378250,0.0,0.0,0
